logger_location,date,n_temperature_records,mean_temperature_c,min_temperature_c,max_temperature_c
Deep Nursery,2025-05-07,144,27.872291666666666,27.67,28.23
Deep Nursery,2025-05-08,144,27.986805555555556,27.8,28.310000000000002
Deep Nursery,2025-05-09,144,27.982430555555556,27.8,28.310000000000002
Deep Nursery,2025-05-10,144,28.105138888888888,27.93,28.4
Deep Nursery,2025-05-11,144,28.230069444444442,27.84,28.610000000000003
Deep Nursery,2025-05-12,144,28.243680555555557,28.01,28.57
Deep Nursery,2025-05-13,144,28.199097222222225,27.97,28.479999999999997
Deep Nursery,2025-05-14,144,28.112708333333334,27.97,28.4
Deep Nursery,2025-05-15,144,28.030416666666667,27.8,28.479999999999997
Deep Nursery,2025-05-16,144,28.00375,27.8,28.439999999999998
Deep Nursery,2025-05-17,144,27.854166666666668,27.75,27.97
Deep Nursery,2025-05-18,144,27.821319444444445,27.67,28.14
Deep Nursery,2025-05-19,144,27.961666666666666,27.8,28.27
Deep Nursery,2025-05-20,144,28.108541666666667,27.88,28.53
Deep Nursery,2025-05-21,144,28.226875,27.97,28.650000000000002
Deep Nursery,2025-05-22,144,28.338055555555556,28.14,28.7
Deep Nursery,2025-05-23,144,28.437847222222224,28.18,28.74
Deep Nursery,2025-05-24,144,28.472569444444446,28.14,28.830000000000002
Deep Nursery,2025-05-25,144,28.47861111111111,28.18,28.91
Deep Nursery,2025-05-26,144,28.35701388888889,28.01,28.610000000000003
Deep Nursery,2025-05-27,144,28.316944444444445,28.05,28.610000000000003
Deep Nursery,2025-05-28,144,28.33,28.14,28.57
Deep Nursery,2025-05-29,144,28.307916666666667,28.14,28.53
Deep Nursery,2025-05-30,144,28.303125,28.1,28.610000000000003
Deep Nursery,2025-05-31,144,28.330972222222222,28.14,28.7
Deep Nursery,2025-06-01,144,28.394375,28.23,28.74
Deep Nursery,2025-06-02,144,28.412569444444443,28.27,28.7
Deep Nursery,2025-06-03,144,28.492708333333333,28.35,28.779999999999998
Deep Nursery,2025-06-04,144,28.55986111111111,28.35,28.87
Deep Nursery,2025-06-05,144,28.489444444444445,28.05,28.74
Deep Nursery,2025-06-06,144,28.348333333333333,28.01,28.7
Deep Nursery,2025-06-07,144,28.37701388888889,28.23,28.610000000000003
Deep Nursery,2025-06-08,144,28.455555555555556,28.27,28.74
Deep Nursery,2025-06-09,144,28.5325,28.310000000000002,28.779999999999998
Deep Nursery,2025-06-10,144,28.573055555555555,28.310000000000002,28.87
Deep Nursery,2025-06-11,144,28.56,28.4,28.830000000000002
Deep Nursery,2025-06-12,144,28.51527777777778,28.310000000000002,28.779999999999998
Deep Nursery,2025-06-13,144,28.47173611111111,28.23,28.779999999999998
Deep Nursery,2025-06-14,144,28.39326388888889,28.23,28.57
Deep Nursery,2025-06-15,144,28.29659722222222,28.1,28.610000000000003
Deep Nursery,2025-06-16,144,28.323055555555555,28.1,28.610000000000003
Deep Nursery,2025-06-17,144,28.369930555555555,28.23,28.7
Deep Nursery,2025-06-18,144,28.344652777777778,28.18,28.610000000000003
Deep Nursery,2025-06-19,144,28.375972222222224,28.23,28.650000000000002
Deep Nursery,2025-06-20,144,28.395625,28.23,28.610000000000003
Deep Nursery,2025-06-21,144,28.428333333333335,28.27,28.74
Deep Nursery,2025-06-22,144,28.435069444444444,28.27,28.610000000000003
Deep Nursery,2025-06-23,144,28.453611111111112,28.27,28.610000000000003
Deep Nursery,2025-06-24,144,28.477291666666666,28.310000000000002,28.650000000000002
Deep Nursery,2025-06-25,144,28.42875,28.23,28.650000000000002
Deep Nursery,2025-06-26,144,28.401458333333334,28.27,28.53
Deep Nursery,2025-06-27,144,28.33020833333333,28.1,28.57
Deep Nursery,2025-06-28,144,28.386736111111112,28.23,28.7
Deep Nursery,2025-06-29,144,28.382638888888888,28.27,28.610000000000003
Deep Nursery,2025-06-30,144,28.403194444444445,28.27,28.7
Deep Nursery,2025-07-01,144,28.44826388888889,28.310000000000002,28.830000000000002
Deep Nursery,2025-07-02,144,28.466944444444444,28.35,28.650000000000002
Deep Nursery,2025-07-03,144,28.488333333333333,28.310000000000002,28.830000000000002
Deep Nursery,2025-07-04,144,28.605763888888887,28.439999999999998,28.830000000000002
Deep Nursery,2025-07-05,144,28.71326388888889,28.610000000000003,28.87
Deep Nursery,2025-07-06,144,28.73909722222222,28.610000000000003,28.95
Deep Nursery,2025-07-07,144,28.666597222222222,28.53,28.830000000000002
Deep Nursery,2025-07-08,144,28.65513888888889,28.479999999999997,28.91
Deep Nursery,2025-07-09,144,28.653402777777778,28.4,29.08
Deep Nursery,2025-07-10,144,28.659444444444446,28.53,28.91
Deep Nursery,2025-07-11,144,28.647222222222222,28.479999999999997,28.830000000000002
Deep Nursery,2025-07-12,144,28.70652777777778,28.57,28.91
Deep Nursery,2025-07-13,144,28.718611111111112,28.57,28.91
Deep Nursery,2025-07-14,144,28.66638888888889,28.53,28.830000000000002
Deep Nursery,2025-07-15,144,28.62847222222222,28.439999999999998,28.87
Deep Nursery,2025-07-16,144,28.658472222222223,28.53,29.04
Deep Nursery,2025-07-17,144,28.660625,28.479999999999997,28.87
Deep Nursery,2025-07-18,144,28.639583333333334,28.4,28.87
Deep Nursery,2025-07-19,144,28.644444444444446,28.479999999999997,28.830000000000002
Deep Nursery,2025-07-20,144,28.71902777777778,28.610000000000003,29.04
Deep Nursery,2025-07-21,144,28.749513888888888,28.610000000000003,29
Deep Nursery,2025-07-22,144,28.765,28.610000000000003,28.95
Deep Nursery,2025-07-23,144,28.847430555555555,28.7,29.130000000000003
Deep Nursery,2025-07-24,144,28.899166666666666,28.779999999999998,29.04
Deep Nursery,2025-07-25,144,28.860208333333333,28.7,29.04
Deep Nursery,2025-07-26,144,28.888194444444444,28.7,29.130000000000003
Deep Nursery,2025-07-27,144,28.859305555555558,28.7,29
Deep Nursery,2025-07-28,144,28.82465277777778,28.7,29.08
Deep Nursery,2025-07-29,144,28.906597222222224,28.779999999999998,29.08
Deep Nursery,2025-07-30,144,28.949166666666667,28.779999999999998,29.21
Deep Nursery,2025-07-31,144,28.99736111111111,28.779999999999998,29.17
Deep Nursery,2025-08-01,144,29.049375,28.830000000000002,29.34
Deep Nursery,2025-08-02,144,28.899166666666666,28.7,29.08
Deep Nursery,2025-08-03,144,28.915069444444445,28.779999999999998,29.17
Deep Nursery,2025-08-04,144,29.03097222222222,28.91,29.17
Deep Nursery,2025-08-05,144,29.057916666666667,28.95,29.259999999999998
Deep Nursery,2025-08-06,144,29.101319444444446,28.95,29.21
Deep Nursery,2025-08-07,144,29.076041666666665,28.91,29.34
Deep Nursery,2025-08-08,144,29.153125,29,29.34
Deep Nursery,2025-08-09,144,29.146597222222223,29,29.34
Deep Nursery,2025-08-10,144,29.140486111111112,28.95,29.43
Deep Nursery,2025-08-11,144,29.243194444444445,29.04,29.47
Deep Nursery,2025-08-12,144,29.324583333333333,29.130000000000003,29.56
Deep Nursery,2025-08-13,144,29.416319444444444,29.21,29.73
Deep Nursery,2025-08-14,144,29.494027777777777,29.34,29.77
Deep Nursery,2025-08-15,144,29.519861111111112,29.34,29.979999999999997
Deep Nursery,2025-08-16,144,29.460625,29.34,29.56
Deep Nursery,2025-08-17,144,29.324375,29.21,29.43
Deep Nursery,2025-08-18,144,29.305694444444445,29.17,29.47
Deep Nursery,2025-08-19,144,29.352430555555554,29.259999999999998,29.47
Deep Nursery,2025-08-20,144,29.426319444444445,29.259999999999998,29.64
Deep Nursery,2025-08-21,144,29.500555555555554,29.38,29.68
Deep Nursery,2025-08-22,144,29.468263888888888,29.34,29.6
Deep Nursery,2025-08-23,144,29.487986111111113,29.34,29.64
Deep Nursery,2025-08-24,144,29.564791666666668,29.38,29.77
Deep Nursery,2025-08-25,144,29.690347222222222,29.56,29.810000000000002
Deep Nursery,2025-08-26,144,29.644166666666667,29.38,29.9
Deep Nursery,2025-08-27,144,29.62,29.47,29.979999999999997
Deep Nursery,2025-08-28,144,29.67361111111111,29.51,29.810000000000002
Deep Nursery,2025-08-29,144,29.76597222222222,29.64,30.03
Deep Nursery,2025-08-30,144,29.789791666666666,29.64,29.939999999999998
Deep Nursery,2025-08-31,144,29.823055555555555,29.68,30.07
Deep Nursery,2025-09-01,144,29.763125,29.6,29.939999999999998
Deep Nursery,2025-09-02,144,29.84722222222222,29.68,29.979999999999997
Deep Nursery,2025-09-03,144,29.83590277777778,29.6,30.07
Deep Nursery,2025-09-04,144,29.87048611111111,29.68,30.110000000000003
Deep Nursery,2025-09-05,144,29.956944444444442,29.810000000000002,30.110000000000003
Deep Nursery,2025-09-06,144,29.983680555555555,29.9,30.07
Deep Nursery,2025-09-07,144,29.950416666666666,29.810000000000002,30.110000000000003
Deep Nursery,2025-09-08,144,29.91701388888889,29.73,30.03
Deep Nursery,2025-09-09,144,29.902291666666667,29.73,30.03
Deep Nursery,2025-09-10,144,29.946319444444445,29.77,30.16
Deep Nursery,2025-09-11,144,30.003541666666667,29.86,30.2
Deep Nursery,2025-09-12,144,29.975347222222222,29.77,30.16
Deep Nursery,2025-09-13,144,29.978402777777777,29.810000000000002,30.07
Deep Nursery,2025-09-14,144,29.906527777777775,29.68,30.03
Deep Nursery,2025-09-15,144,29.890763888888888,29.68,30.110000000000003
Deep Nursery,2025-09-16,144,29.89861111111111,29.73,30.07
Deep Nursery,2025-09-17,144,29.898333333333333,29.6,30.110000000000003
Deep Nursery,2025-09-18,144,29.800416666666667,29.6,29.939999999999998
Deep Nursery,2025-09-19,144,29.636666666666667,29.56,29.73
Deep Nursery,2025-09-20,144,29.680208333333333,29.51,29.86
Deep Nursery,2025-09-21,144,29.79888888888889,29.64,30.03
Deep Nursery,2025-09-22,144,29.815277777777776,29.68,29.9
Deep Nursery,2025-09-23,144,29.839305555555555,29.73,29.979999999999997
Deep Nursery,2025-09-24,144,29.78125,29.64,29.939999999999998
Deep Nursery,2025-09-25,144,29.673194444444444,29.51,29.810000000000002
Deep Nursery,2025-09-26,144,29.721319444444443,29.56,29.86
Deep Nursery,2025-09-27,144,29.851388888888888,29.73,30.2
Deep Nursery,2025-09-28,144,29.896041666666665,29.77,30.07
Deep Nursery,2025-09-29,144,29.859305555555554,29.73,30.07
Deep Nursery,2025-09-30,144,29.933124999999997,29.810000000000002,30.03
Deep Nursery,2025-10-01,144,29.967916666666664,29.86,30.07
Deep Nursery,2025-10-02,144,30.01048611111111,29.9,30.2
Deep Nursery,2025-10-03,144,30.11625,29.979999999999997,30.330000000000002
Deep Nursery,2025-10-04,144,30.233958333333334,30.110000000000003,30.37
Deep Nursery,2025-10-05,144,30.202152777777776,30.110000000000003,30.279999999999998
Deep Nursery,2025-10-06,144,30.173680555555556,30.07,30.330000000000002
Deep Nursery,2025-10-07,144,30.13763888888889,30.07,30.279999999999998
Deep Nursery,2025-10-08,144,30.089444444444446,29.86,30.24
Deep Nursery,2025-10-09,144,30.109861111111112,30.03,30.24
Deep Nursery,2025-10-10,144,30.143472222222222,30.03,30.279999999999998
Deep Nursery,2025-10-11,144,30.05173611111111,29.939999999999998,30.16
Deep Nursery,2025-10-12,144,29.978402777777777,29.86,30.110000000000003
Deep Nursery,2025-10-13,144,29.97583333333333,29.810000000000002,30.07
Deep Nursery,2025-10-14,144,29.870208333333334,29.73,29.979999999999997
Deep Nursery,2025-10-15,144,29.919513888888886,29.73,30.07
Deep Nursery,2025-10-16,144,29.93986111111111,29.73,30.07
Deep Nursery,2025-10-17,144,29.885416666666664,29.73,29.979999999999997
Deep Nursery,2025-10-18,144,29.889652777777776,29.68,30.03
Deep Nursery,2025-10-19,144,29.85013888888889,29.73,29.979999999999997
Deep Nursery,2025-10-20,144,29.768125,29.64,29.939999999999998
Deep Nursery,2025-10-21,144,29.725625,29.6,29.9
Deep Nursery,2025-10-22,144,29.62388888888889,29.47,29.77
Deep Nursery,2025-10-23,144,29.613125,29.43,29.77
Deep Nursery,2025-10-24,144,29.60326388888889,29.38,29.73
Deep Nursery,2025-10-25,144,29.613819444444445,29.51,29.68
Deep Nursery,2025-10-26,144,29.602916666666665,29.47,29.77
Deep Nursery,2025-10-27,144,29.515138888888888,29.3,29.77
Deep Nursery,2025-10-28,144,29.39097222222222,29.17,29.51
Deep Nursery,2025-10-29,144,29.508055555555554,29.3,29.73
Deep Nursery,2025-10-30,144,29.552430555555556,29.43,29.64
Deep Nursery,2025-10-31,144,29.55645833333333,29.43,29.64
Deep Nursery,2025-11-01,144,29.499027777777776,29.38,29.6
Deep Nursery,2025-11-02,144,29.41263888888889,29.17,29.68
Deep Nursery,2025-11-03,144,29.403402777777778,29.21,29.51
Deep Nursery,2025-11-04,144,29.411805555555556,29.21,29.56
Deep Nursery,2025-11-05,144,29.403194444444445,29.3,29.51
Deep Nursery,2025-11-06,144,29.359027777777776,29.17,29.51
